lon,lat,city
5.30417,51.69917,'S HERTOGENBOSCH
6.08342,50.77664,AACHEN
4.0355,50.93604,AALST
1.83333,50.1,ABBEVILLE
-2.09814,57.14369,ABERDEEN
15.16279,37.60666,ACIREALE
0.63333,44.2,AGEN
5.44973,43.5283,AIX EN PROVENCE
2.148,43.9298,ALBI
-3.92301,37.4614,ALCALA LA REAL
-3.20827,39.39011,ALCAZAR DE SAN JUAN
0.08333,48.43333,ALENCON
8.616667,44.916667,ALESSANDRIA
-0.48149,38.34517,ALICANTE
4.74861,52.63167,ALKMAAR
16.55,40.816667,ALTA MURA
9.93333,53.55,ALTONA
2.3,49.9,AMIENS
4.88969,52.37403,AMSTERDAM
13.51008,43.59816,ANCONA
-4.05078,38.03922,ANDUJAR
-0.55,47.46667,ANGERS
0.15,45.65,ANGOULEME
10.58333,49.3,ANSBACH
-4.56123,37.01938,ANTEQUERA
4.40346,51.21989,ANTWERPEN
-6.56116,37.89396,ARACENA
4.63031,43.67681,ARLES
5.91111,51.98,ARNHEM
2.78186,50.29301,ARRAS
8.20684,44.89795,ASTI
10.88333,48.36667,AUGSBURG
3.56667,47.8,AUXERRE
4.80892,43.94834,AVIGNON
-4.7,40.65,AVILA
-6.97061,38.87789,BADAJOZ
-3.47103,37.99384,BAEZA
10.90067,49.89873,BAMBERG
2.15899,41.38879,BARCELONA
16.85118,41.11773,BARI
7.2,51.266667,BARMEN
7.57327,47.5584,BASEL
-2.35907,51.37795,BATH
14.43494,51.18035,BAUTZEN
-0.7028,49.2794,BAYEUX
-1.48,43.49,BAYONNE
2.08333,49.43333,BEAUVAIS
-5.93333,54.58333,BELFAST
9.66895,45.69798,BERGAMO
5.33,60.389444,BERGEN
13.41377,52.5233,BERLIN
7.44744,46.94809,BERN
6.01815,47.24878,BESANCON
3.21899,43.34762,BEZIERS
-2.92528,43.26271,BILBAO
-1.8980725,52.4813678,BIRMINGHAM
-2.48333,53.75,BLACKBURN
1.33333,47.58333,BLOIS
11.33875,44.49381,BOLOGNA
-2.4288874,53.577694,BOLTON
7.1002,50.73616,BONN
-0.5805,44.84044,BORDEAUX
2.25,48.83333,BOULOGNE
2.4,47.08333,BOURGES
13.5,52.5,BRANDENBURG
10.52333,52.26471,BRAUNSCHWEIG
8.79063,53.08891,BREMEN
10.22727,45.52478,BRESCIA
17.03533,51.10773,BRESLAU (WROCLAW)
23.68775,52.09755,BREST
-2.583333,51.45,BRISTOL
16.60796,49.19522,BRNO (BRUNN)
3.22424,51.20892,BRUGGE
4.34878,50.85045,BRUSSELS
-3.7,42.35,BURGOS
-6.283333,36.533333,CADIZ
-0.35912,49.18585,CAEN
9.13462,39.20738,CAGLIARI
1.43663,44.4491,CAHORS
14.5132,37.23682,CALTAGIRONE
14.0625,37.490278,CALTANISSETA
3.2356,50.1767,CAMBRA!
0.124862,52.2033051,CAMBRIDGE
