City,Code,1500,1550,1600,1650,1700,1750,1800
ANTWERPEN,6,40,90,47,70,70,46,60
BRUGGE,6,30,35,27,34,38,28,32
BRUSSELS,6,35,40,50,69,80,60,74
DUNKERQUE,6,0,0,UNK,UNK,11,15,21
GENT,6,40,50,31,46,51,40,51
IEPER,6,10,10,UNK,13,11,11,12
KORTRIJK,6,5,0,0,UNK,UNK,12,14
LEUVEN,6,17,15,9,13,14,15,21
LIEGE,6,20,UNK,UNK,35,45,57,55
LIER,6,0,0,0,0,5,6,11
LILLE,6,25,28,33,40,55,63,59
LOKEREN,6,0,0,0,0,0,0,11
MECHELEN,6,25,25,11,20,22,18,20
MONS,6,15,15,UNK,13,14,17,18
NAMUR,6,0,0,UNK,11,UNK,UNK,16
OOSTENDE,6,0,0,0,0,0,0,11
SINT NIKLAAS,6,0,0,2,4,6,8,11
TOURNAI,6,25,25,20,20,29,21,23
VALENCIENNES,6,UNK,15,15,18,19,16,17
AACHEN,7,15,UNK,UNK,12,15,UNK,24
ALTONA,7,0,0,2,3,12,15,23
ANSBACH,7,0,0,0,0,4,6,12
AUGSBURG,7,20,45,48,21,21,UNK,28
BAMBERG,7,0,10,12,7,10,12,17
BARMEN,7,0,0,0,2,2,4,13
BAUTZEN,7,0,5,0,0,0,8,11
BERLIN,7,12,UNK,25,12,55,90,150
BONN,7,0,0,0,0,0,0,11
BRANDENBURG,7,0,0,0,0,0,0,12
BRAUNSCHWEIG,7,18,16,16,16,UNK,21,27
BREMEN,7,18,UNK,UNK,UNK,27,28,36
BRESLAU (WROCLAW),7,25,35,30,UNK,UNK,55,54
CHEMNITZ (K-MARX-ST),7,0,4,5,0,4,11,11
DANZIG (GDANSK),7,20,26,50,70,50,46,40
DRESDEN,7,5,8,12,15,40,52,55
DUSSELDORF,7,2,0,6,5,5,UNK,20
ELBERFELD,7,0,0,0,2,3,0,10
ELBING (ELBLAG),7,10,15,15,10,16,16,17
EMDEN,7,0,UNK,UNK,14,10,8,12
ERFURT,7,15,18,19,15,17,17,17
FLENSBURG,7,0,0,0,0,0,UNK,13
FRANKFURT AM,7,12,12,18,17,28,32,35
FRANKFURT AO,7,11,11,13,2,9,9,12
FREIBURG,7,5,0,10,6,0,0,9
