city,region,year,population
BERGEN,Scandinavia,1500,0
COPENHAGEN,Scandinavia,1500,NA
GOTEBORG,Scandinavia,1500,0
KARLSKRONA,Scandinavia,1500,0
OSLO,Scandinavia,1500,0
STOCKHOLM,Scandinavia,1500,0
BATH,England and Wales,1500,0
BIRMINGHAM,England and Wales,1500,0
BLACKBURN,England and Wales,1500,0
BOLTON,England and Wales,1500,0
BRISTOL,England and Wales,1500,10
CAMBRIDGE,England and Wales,1500,0
CARLISLE,England and Wales,1500,0
CHATHAM,England and Wales,1500,0
CHESTER,England and Wales,1500,0
COLCHESTER,England and Wales,1500,5
COVENTRY,England and Wales,1500,7
DERBY,England and Wales,1500,0
EXETER,England and Wales,1500,10
GREENWICH,England and Wales,1500,0
HUDDERSFIELD,England and Wales,1500,0
HULL,England and Wales,1500,0
IPSWICH,England and Wales,1500,0
KING'S LYNN,England and Wales,1500,5
LEEDS,England and Wales,1500,0
LEICESTER,England and Wales,1500,4
LIVERPOOL,England and Wales,1500,0
LONDON,England and Wales,1500,40
MANCHESTER,England and Wales,1500,0
NEWCASTLE,England and Wales,1500,10
NORWICH,England and Wales,1500,10
NOTTINGHAM,England and Wales,1500,0
OLDHAM,England and Wales,1500,0
OXFORD,England and Wales,1500,5
PLYMOUTH,England and Wales,1500,2
PORTSMOUTH,England and Wales,1500,0
PRESTON,England and Wales,1500,0
READING,England and Wales,1500,0
SALFORD,England and Wales,1500,0
SHEFFIELD,England and Wales,1500,0
SHREWSBURY,England and Wales,1500,5
STOCKPORT,England and Wales,1500,0
SUNDERLAND,England and Wales,1500,0
WARRINGTON,England and Wales,1500,0
WENLOCK,England and Wales,1500,0
WIGAN,England and Wales,1500,0
WOLVERHAMPTON,England and Wales,1500,0
WORCESTER,England and Wales,1500,0
YARMOUTH,England and Wales,1500,5
YORK,England and Wales,1500,8
ABERDEEN,Scotland,1500,0
DUNDEE,Scotland,1500,0
EDINBURGH,Scotland,1500,NA
GLASGOW,Scotland,1500,0
GREENOCK,Scotland,1500,0
INVERNESS,Scotland,1500,0
PAISLEY,Scotland,1500,0
PERTH,Scotland,1500,0
BELFAST,Ireland,1500,0
CORK,Ireland,1500,0
DUBLIN,Ireland,1500,0
GALWAY,Ireland,1500,0
KILKENNY,Ireland,1500,0
LIMERICK,Ireland,1500,0
NEWRY,Ireland,1500,0
WATERFORD,Ireland,1500,0
ALKMAAR,The Netherlands,1500,5
AMSTERDAM,The Netherlands,1500,14
ARNHEM,The Netherlands,1500,6
DELFT,The Netherlands,1500,14
DORDRECHT,The Netherlands,1500,11
ENKHUIZEN,The Netherlands,1500,4
GOUDA,The Netherlands,1500,11
GRONINGEN,The Netherlands,1500,14
HAARLEM,The Netherlands,1500,14
DEN HAAG,The Netherlands,1500,7
'S HERTOGENBOSCH,The Netherlands,1500,16
HOORN,The Netherlands,1500,6
LEEUWARDEN,The Netherlands,1500,4
LEIDEN,The Netherlands,1500,14
MAASTRICHT,The Netherlands,1500,10
MIDDELBURG,The Netherlands,1500,0
NIJMEGEN,The Netherlands,1500,12
ROTTERDAM,The Netherlands,1500,5
UTRECHT,The Netherlands,1500,20
ZAANDAM,The Netherlands,1500,7
ZWOLLE,The Netherlands,1500,0
AALST,Belgium,1500,0
ANTWERPEN,Belgium,1500,40
BRUGGE,Belgium,1500,30
BRUSSELS,Belgium,1500,35
DUNKERQUE,Belgium,1500,0
GENT,Belgium,1500,40
IEPER,Belgium,1500,10
KORTRIJK,Belgium,1500,5
LEUVEN,Belgium,1500,17
LIEGE,Belgium,1500,20
LIER,Belgium,1500,0
LILLE,Belgium,1500,25
LOKEREN,Belgium,1500,0
MECHELEN,Belgium,1500,25
MONS,Belgium,1500,15
NAMUR,Belgium,1500,0
OOSTENDE,Belgium,1500,0
SINT NIKLAAS,Belgium,1500,0
TOURNAI,Belgium,1500,25
VALENCIENNES,Belgium,1500,NA
AACHEN,Germany,1500,15
ALTONA,Germany,1500,0
ANSBACH,Germany,1500,0
AUGSBURG,Germany,1500,20
BAMBERG,Germany,1500,0
BARMEN,Germany,1500,0
BAUTZEN,Germany,1500,0
BERLIN,Germany,1500,12
BONN,Germany,1500,0
BRANDENBURG,Germany,1500,0
BRAUNSCHWEIG,Germany,1500,18
BREMEN,Germany,1500,18
BRESLAU (WROCLAW),Germany,1500,25
CHEMNITZ (K-MARX-ST),Germany,1500,0
DANZIG (GDANSK),Germany,1500,20
DRESDEN,Germany,1500,5
DUSSELDORF,Germany,1500,2
ELBERFELD,Germany,1500,0
ELBING (ELBLAG),Germany,1500,10
EMDEN,Germany,1500,0
ERFURT,Germany,1500,15
FLENSBURG,Germany,1500,0
FRANKFURT AM,Germany,1500,12
FRANKFURT AO,Germany,1500,11
FREIBURG,Germany,1500,5
FURTH,Germany,1500,0
GOTHA,Germany,1500,0
HALBERSTADT,Germany,1500,0
HALLE,Germany,1500,NA
HAMBURG,Germany,1500,14
HANAU,Germany,1500,0
HANNOVER,Germany,1500,0
HEIDELBERG,Germany,1500,0
HILDESHEIM,Germany,1500,11
KASSEL,Germany,1500,0
KOLN,Germany,1500,30
KONIGSBERG,Germany,1500,8
LEIPZIG,Germany,1500,10
LUBECK,Germany,1500,24
LUNEBURG,Germany,1500,0
MAGDEBURG,Germany,1500,18
MAINZ,Germany,1500,6
MANNHEIM,Germany,1500,0
MUNCHEN,Germany,1500,13
MUNSTER,Germany,1500,0
NURNBERG,Germany,1500,36
POTSDAM,Germany,1500,0
QUEDLINBURG,Germany,1500,0
REGENSBURG,Germany,1500,NA
ROSTOCK,Germany,1500,0
SOEST,Germany,1500,12
STETTIN (SZCZECIN),Germany,1500,9
STRALSUND,Germany,1500,0
STUTTGART,Germany,1500,0
ULM,Germany,1500,17
WURZBURG,Germany,1500,10
ABBEVILLE,France,1500,NA
AGEN,France,1500,0
AIX EN PROVENCE,France,1500,NA
ALBI,France,1500,0
ALENCON,France,1500,NA
AMIENS,France,1500,NA
ANGERS,France,1500,NA
ANGOULEME,France,1500,0
ARLES,France,1500,NA
ARRAS,France,1500,11
AUXERRE,France,1500,0
AVIGNON,France,1500,NA
BAYEUX,France,1500,0
BAYONNE,France,1500,0
BEAUVAIS,France,1500,NA
BESANCON,France,1500,8
BEZIERS,France,1500,NA
BLOIS,France,1500,NA
BORDEAUX,France,1500,20
BOULOGNE,France,1500,2
BOURGES,France,1500,NA
BREST,France,1500,0
CAEN,France,1500,NA
CAHORS,France,1500,0
CAMBRA!,France,1500,NA
CARCASSONNE,France,1500,0
CASTRES,France,1500,0
CHALONS-SUR-MARNE,France,1500,NA
CHALONS-SUR-SAONE,France,1500,0
CHARTRES,France,1500,0
CHERBOURG,France,1500,0
CLERMONT-FERRAND,France,1500,0
COLMAR,France,1500,5
DIEPPE,France,1500,0
DIJON,France,1500,13
DOUAI,France,1500,NA
FALAISE,France,1500,0
GRENOBLE,France,1500,0
LA ROCHELLE,France,1500,NA
LAVAL,France,1500,NA
LE HAVRE,France,1500,0
LE MANS,France,1500,NA
LE PUY,France,1500,0
LIMOGES,France,1500,NA
LISIEUX,France,1500,0
LORIENT,France,1500,0
LYON,France,1500,50
MACON,France,1500,0
MARSEILLE,France,1500,NA
METZ,France,1500,15
MONTAUBAN,France,1500,NA
MONTPELLIER,France,1500,6
MOULINS,France,1500,0
NANCY,France,1500,0
NANTES,France,1500,14
NEVERS,France,1500,0
NIMES,France,1500,0
NIORT,France,1500,0
ORLEANS,France,1500,NA
PARIS,France,1500,100
PERPIGNAN,France,1500,0
POITIERS,France,1500,NA
REIMS,France,1500,NA
RENNES,France,1500,12
RIOM,France,1500,0
ROCHEFORT,France,1500,0
ROUEN,France,1500,40
SAINT-ETIENNE,France,1500,0
SAINT-MALO,France,1500,4
SAINT-OMER,France,1500,11
SAINT-QUENTIN,France,1500,0
STRASBOURG,France,1500,20
TOULON,France,1500,0
TOULOUSE,France,1500,35
TOURS,France,1500,NA
TROYES,France,1500,NA
VERSAILLES,France,1500,0
VIENNE,France,1500,0
BASEL,Switzerland,1500,9
BERN,Switzerland,1500,3
GENEVE,Switzerland,1500,10
ZURICH,Switzerland,1500,5
ALESSANDRIA,Northern Italy,1500,0
ASTI,Northern Italy,1500,0
BERGAMO,Northern Italy,1500,NA
BRESCIA,Northern Italy,1500,49
CHIOGGIA,Northern Italy,1500,0
COMO,Northern Italy,1500,10
CREMA,Northern Italy,1500,NA
CREMONA,Northern Italy,1500,40
CUNEO,Northern Italy,1500,0
FOSSANO,Northern Italy,1500,0
GENOA,Northern Italy,1500,60
LODI,Northern Italy,1500,0
MANTUA,Northern Italy,1500,28
MILANO,Northern Italy,1500,100
MODENA,Northern Italy,1500,18
MONDOVI,Northern Italy,1500,0
MONZA,Northern Italy,1500,NA
NICE,Northern Italy,1500,NA
NOVARA,Northern Italy,1500,0
PADOVA,Northern Italy,1500,27
PARMA,Northern Italy,1500,19
PAVIA,Northern Italy,1500,16
PIACENZA,Northern Italy,1500,NA
REGGIO,Northern Italy,1500,NA
SAVIGLIANO,Northern Italy,1500,0
TREVISO,Northern Italy,1500,NA
TRIESTE,Northern Italy,1500,NA
TORINO,Northern Italy,1500,0
UDINE,Northern Italy,1500,NA
VENEZIA,Northern Italy,1500,100
VERCELLI,Northern Italy,1500,0
VERONA,Northern Italy,1500,38
VICENZA,Northern Italy,1500,NA
VIGEVANO,Northern Italy,1500,0
ANCONA,Central Italy,1500,0
BOLOGNA,Central Italy,1500,55
FERRARA,Central Italy,1500,NA
FIRENZE,Central Italy,1500,70
LIVORNO,Central Italy,1500,0
LUCCA,Central Italy,1500,NA
PERUGIA,Central Italy,1500,13
PISA,Central Italy,1500,NA
ROMA,Central Italy,1500,55
SIENA,Central Italy,1500,15
VITERBO,Central Italy,1500,12
ACIREALE,Southern Italy,1500,0
ALTA MURA,Southern Italy,1500,0
BARI,Southern Italy,1500,8
CAGLIARI,Southern Italy,1500,0
CALTAGIRONE,Southern Italy,1500,0
CALTANISSETA,Southern Italy,1500,0
CASTEL VETRANO,Southern Italy,1500,0
CASTROGIOVANNI,Southern Italy,1500,NA
CATANIA,Southern Italy,1500,14
FOGGIA,Southern Italy,1500,0
GIRGENTI,Southern Italy,1500,NA
LECCE,Southern Italy,1500,15
MARSALA,Southern Italy,1500,0
MASCALI,Southern Italy,1500,0
MAZZARINO,Southern Italy,1500,0
MESSINA,Southern Italy,1500,25
MODICA/POZZALLO,Southern Italy,1500,NA
MONOPOLI,Southern Italy,1500,NA
NAPOLI,Southern Italy,1500,150
NICOSIA,Southern Italy,1500,NA
NOTO,Southern Italy,1500,0
PALERMO,Southern Italy,1500,55
PIAZZA (ENNA),Southern Italy,1500,NA
RAGUSA,Southern Italy,1500,0
REGGIO DI CALABRIA,Southern Italy,1500,NA
SASSARI,Southern Italy,1500,13
SIRACUSA,Southern Italy,1500,NA
TARANTO,Southern Italy,1500,12
TERMINI,Southern Italy,1500,NA
TRAPANI,Southern Italy,1500,NA
ALCALA LA REAL,Spain,1500,NA
ALCAZAR DE SAN JUAN,Spain,1500,NA
ALICANTE,Spain,1500,0
ANDUJAR,Spain,1500,NA
ANTEQUERA,Spain,1500,NA
ARACENA,Spain,1500,NA
AVILA,Spain,1500,NA
BADAJOZ,Spain,1500,NA
BAEZA,Spain,1500,NA
BARCELONA,Spain,1500,29
BILBAO,Spain,1500,0
BURGOS,Spain,1500,0
CADIZ,Spain,1500,2
CARTAGENA,Spain,1500,4
CORDOBA,Spain,1500,27
CUENCA,Spain,1500,NA
ECIJA,Spain,1500,NA
GRANADA,Spain,1500,70
JAEN,Spain,1500,NA
JEREZ DA LA FRONTERA,Spain,1500,NA
LUCENA,Spain,1500,NA
MADRID,Spain,1500,0
MALAGA,Spain,1500,NA
MEDINA DEL CAMPO,Spain,1500,NA
MEDINA DE RIOSECO,Spain,1500,NA
MORON DE LA FRONTERA,Spain,1500,NA
MURCIA,Spain,1500,10
OCANA,Spain,1500,NA
ORIHUELA,Spain,1500,0
OSUNA,Spain,1500,NA
PALENCIA,Spain,1500,NA
PALMA,Spain,1500,NA
RONDA,Spain,1500,NA
SALAMANCA,Spain,1500,NA
SANTIAGO,Spain,1500,4
SEGOVIA,Spain,1500,NA
SEVILLA,Spain,1500,25
TOLEDO,Spain,1500,NA
UBEDA,Spain,1500,NA
UTRERA,Spain,1500,0
VALENCIA,Spain,1500,40
VALLADOLID,Spain,1500,NA
ZARAGOZA,Spain,1500,NA
COIMBRA,Portugal,1500,0
ELVAS,Portugal,1500,NA
EVORA,Portugal,1500,NA
LISBOA,Portugal,1500,30
PORTO,Portugal,1500,NA
BRNO (BRUNN),Austria and Czechoslovakia,1500,0
GRAZ,Austria and Czechoslovakia,1500,5
INNSBRUCK,Austria and Czechoslovakia,1500,4
