City,Code,1500,1550,1600,1650,1700,1750,1800
WENLOCK,2,0,0,0,0,0,UNK,15
WIGAN,2,0,0,0,0,0,4,11
WOLVERHAMPTON,2,0,2,0,4,0,7,13
WORCESTER,2,0,3,6,8,9,10,11
YARMOUTH,2,5,0,0,10,10,10,15
YORK,2,8,8,12,12,11,11,16
ABERDEEN,3,0,0,7,0,6,16,27
DUNDEE,3,0,0,7,UNK,UNK,12,26
EDINBURGH,3,UNK,UNK,30,35,40,57,82
GLASGOW,3,0,0,2,UNK,13,24,77
GREENOCK,3,0,0,0,0,0,4,17
INVERNESS,3,0,0,0,0,0,10,15
PAISLEY,3,0,0,0,0,0,7,17
PERTH,3,0,0,5,0,0,9,15
BELFAST,4,0,0,0,0,2,9,24
CORK,4,0,0,2,2,25,58,75
DUBLIN,4,0,5,5,17,60,90,168
GALWAY,4,0,0,4,0,5,0,12
KILKENNY,4,0,0,0,0,7,0,16
LIMERICK,4,0,0,3,0,11,UNK,39
NEWRY,4,0,0,0,0,0,0,15
WATERFORD,4,0,0,2,0,5,UNK,20
ALKMAAR,5,5,8,11,15,12,8,8
AMSTERDAM,5,14,30,65,175,200,210,217
ARNHEM,5,6,6,7,7,6,6,10
DELFT,5,14,14,20,24,18,15,17
DORDRECHT,5,11,11,15,20,22,16,18
ENKHUIZEN,5,4,8,17,22,14,7,7
GOUDA,5,11,11,13,15,15,15,12
GRONINGEN,5,14,19,19,20,20,21,24
HAARLEM,5,14,14,30,38,33,27,21
DEN HAAG,5,7,6,10,18,33,38,38
'S HERTOGENBOSCH,5,16,23,18,15,13,14,13
HOORN,5,6,8,12,16,13,10,10
LEEUWARDEN,5,4,7,11,15,15,14,16
LEIDEN,5,14,12,25,67,55,38,31
MAASTRICHT,5,10,10,12,18,26,18,18
MIDDELBURG,5,0,7,20,30,25,24,20
NIJMEGEN,5,12,12,12,11,11,11,13
ROTTERDAM,5,5,7,13,30,48,44,57
UTRECHT,5,20,25,25,30,30,25,32
ZAANDAM,5,7,10,16,24,26,28,25
ZWOLLE,5,0,0,0,0,10,12,12
AALST,6,0,7,7,7,8,8,11
